fileNumber,sentiment,score
"1","Negative",0.3181818181818182
"10","Negative",0.27419354838709675
"14","Positive",0.25274725274725274
"11","Negative",0.3333333333333333
"15","Negative",0.19444444444444445
"17","Positive",0.20454545454545456
"16","Negative",0.17647058823529413
"2","Positive",0.21875
"100","Positive",0.1678832116788321
"13","Negative",0.21794871794871795
"19","Negative",0.1568627450980392
"21","Positive",0.24
"18","Positive",0.152317880794702
"23","Positive",0.20588235294117646
"24","Positive",0.2549019607843137
"20","Negative",0.21105527638190955
"22","Negative",0.2631578947368421
"12","Negative",0.2558139534883721
"28","Negative",0.2391304347826087
"25","Positive",0.2375
"3","Negative",0.2682926829268293
"26","Positive",0.10256410256410256
"27","Positive",0.3
"29","Negative",0.2765957446808511
"30","Negative",0.1415929203539823
"31","Negative",0.24
"32","Positive",0.27906976744186046
"35","Positive",0.2571428571428571
"34","Positive",0.22727272727272727
"33","Negative",0.19047619047619047
"39","Positive",0.2916666666666667
"36","Positive",0.13725490196078433
"37","Positive",0.13157894736842105
"40","Positive",0.18831168831168832
"38","Positive",0.2537313432835821
"42","Positive",0.24324324324324326
"44","Positive",0.16317991631799164
"41","Negative",0.1735159817351598
"45","Negative",0.32653061224489793
"47","Negative",0.1513157894736842
"43","Positive",0.32727272727272727
"4","Positive",0.1794871794871795
"46","Negative",0.19642857142857142
"5","Positive",0.21212121212121213
"49","Neutral",0.5
"50","Positive",0.1676470588235294
"51","Negative",0.16666666666666666
"54","Negative",0.21052631578947367
"53","Positive",0.20454545454545456
"48","Negative",0.1746031746031746
"52","Positive",0.21311475409836064
"55","Positive",0.2361111111111111
"57","Positive",0.42857142857142855
"6","Negative",0.3409090909090909
"56","Positive",0.1415929203539823
"58","Positive",0.19900497512437812
"61","Negative",0.20689655172413793
"63","Positive",0.23809523809523808
"59","Positive",0.2972972972972973
"66","Positive",0.2727272727272727
"65","Positive",0.2
"62","Positive",0.2631578947368421
"64","Positive",0.30434782608695654
"67","Positive",0.125
"60","Positive",0.25
"68","Negative",0.23529411764705882
"69","Positive",0.36585365853658536
"7","Positive",0.18823529411764706
"70","Negative",0.2564102564102564
"72","Negative",0.22818791946308725
"71","Negative",0.3617021276595745
"74","Positive",0.2112676056338028
"73","Positive",0.25
"76","Negative",0.32098765432098764
"75","Positive",0.224
"78","Negative",0.18333333333333332
"77","Positive",0.19696969696969696
"79","Positive",0.13953488372093023
"81","Positive",0.24444444444444444
"80","Positive",0.15217391304347827
"8","Negative",0.18181818181818182
"83","Negative",0.29411764705882354
"82","Negative",0.22
"84","Neutral",0.5
"85","Positive",0.14285714285714285
"86","Positive",0.26666666666666666
"87","Positive",0.3181818181818182
"9","Negative",0.2261904761904762
"88","Negative",0.1896551724137931
"89","Negative",0.1791044776119403
"91","Positive",0.19480519480519481
"92","Positive",0.11764705882352941
"90","Negative",0.2857142857142857
"94","Negative",0.25
"93","Negative",0.3
"95","Positive",0.25
"98","Positive",0.21052631578947367
"97","Positive",0.20454545454545456
"99","Negative",0.1889763779527559
"96","Neutral",0.5
"1","Negative",0.3181818181818182
"10","Negative",0.27419354838709675
"11","Negative",0.3333333333333333
"12","Negative",0.2558139534883721
"15","Negative",0.19444444444444445
"16","Negative",0.17647058823529413
"13","Negative",0.21794871794871795
"100","Positive",0.1678832116788321
"14","Positive",0.25274725274725274
"17","Positive",0.20454545454545456
"2","Positive",0.21875
"20","Negative",0.21105527638190955
"19","Negative",0.1568627450980392
"18","Positive",0.152317880794702
"22","Negative",0.2631578947368421
"23","Positive",0.20588235294117646
"26","Positive",0.10256410256410256
"21","Positive",0.24
"25","Positive",0.2375
"27","Positive",0.3
"24","Positive",0.2549019607843137
"3","Negative",0.2682926829268293
"29","Negative",0.2765957446808511
"28","Negative",0.2391304347826087
"31","Negative",0.24
"30","Negative",0.1415929203539823
"34","Positive",0.22727272727272727
"32","Positive",0.27906976744186046
"33","Negative",0.19047619047619047
"35","Positive",0.2571428571428571
"37","Positive",0.13157894736842105
"36","Positive",0.13725490196078433
"39","Positive",0.2916666666666667
"4","Positive",0.1794871794871795
"38","Positive",0.2537313432835821
"40","Positive",0.18831168831168832
"42","Positive",0.24324324324324326
"41","Negative",0.1735159817351598
"43","Positive",0.32727272727272727
"45","Negative",0.32653061224489793
"46","Negative",0.19642857142857142
"47","Negative",0.1513157894736842
"49","Neutral",0.5
"44","Positive",0.16317991631799164
"48","Negative",0.1746031746031746
"50","Positive",0.1676470588235294
"5","Positive",0.21212121212121213
"53","Positive",0.20454545454545456
